,X_1,X_2,X_3,X_4,X_5,alpha
time 918,-0.97,0.46,-0.4,0.38,0.13,0.67
time 919,0.47,0.39,0.1,0.84,0.7,0.33
time 920,0.93,-0.25,0.5,-0.6,-0.56,0.67
time 921,0.33,0.48,0.5,0.73,0.71,1.0
time 922,-0.14,0.89,0.27,0.34,0.14,0.33
time 923,-0.26,-0.98,0.13,-0.9,-0.46,0.33
time 924,-0.01,0.69,-0.02,-0.67,-0.54,1.0
time 925,-0.05,0.22,-0.22,0.38,0.66,1.0
time 926,0.79,0.88,-0.73,-0.86,-0.91,0.67
time 927,0.44,0.15,-0.94,0.25,0.18,0.33
time 928,0.46,-0.78,-0.48,-0.63,0.5,0.33
time 929,-0.47,-1.0,-0.87,-0.31,-0.18,0.67
time 930,-0.98,0.88,-0.87,0.36,-0.78,0.33
time 931,-0.54,0.32,-0.54,-0.26,-0.08,0.33
time 932,-0.05,0.54,0.75,0.67,-0.95,0.67
time 933,-0.75,-0.94,0.04,-0.22,0.77,1.0
time 934,-0.97,-0.17,0.89,0.69,0.4,0.67
time 935,-0.02,0.4,0.63,-0.71,-0.38,0.67
time 936,0.55,-0.75,0.02,-0.25,-0.45,0.33
time 937,-0.62,-0.56,-0.6,0.61,0.99,0.67
time 938,-0.55,0.25,-0.77,-0.47,-0.26,0.33
time 939,0.53,0.3,-0.37,0.24,-0.07,0.67
time 940,0.01,0.16,0.59,-0.19,0.41,1.0
time 941,-0.92,-0.94,-0.96,0.47,0.96,0.67
time 942,0.66,0.77,-0.24,0.96,0.63,1.0
time 943,-0.69,-0.1,-0.83,0.38,0.21,0.67
time 944,-0.96,-0.29,0.24,0.03,0.84,0.33
time 945,-0.54,-0.8,0.14,0.99,-0.61,1.0
time 946,-0.9,0.19,0.69,-0.13,-0.51,0.67
time 947,-0.47,-0.86,0.15,0.62,-0.3,0.67
time 948,0.21,-0.88,0.5,-0.49,-0.93,0.67
time 949,0.98,-0.71,-0.79,0.09,-0.17,1.0
time 950,0.75,-0.94,0.81,0.09,-0.07,0.33
time 951,0.94,0.8,0.59,0.32,-0.4,0.33
time 952,-0.62,0.66,-0.0,0.18,-0.56,1.0
time 953,0.22,-0.45,-0.88,-0.31,-0.83,0.67
time 954,-0.05,0.97,-0.21,-0.66,-0.45,0.67
time 955,0.74,0.81,-0.65,0.7,0.88,0.67
time 956,0.95,-0.44,0.05,0.57,0.64,0.67
time 957,-0.24,-0.75,-0.3,0.34,0.64,1.0
time 958,0.41,0.49,0.62,-0.03,0.14,0.33
time 959,0.13,-0.96,0.28,-0.92,-0.72,0.33
time 960,0.18,-0.88,0.16,-0.69,0.8,1.0
time 961,0.77,0.76,0.44,-0.27,0.39,0.33
time 962,0.83,0.16,0.51,0.26,0.53,0.33
time 963,-0.35,0.71,0.35,0.69,-0.64,0.67
time 964,-0.03,0.24,0.12,0.2,-0.69,0.67
time 965,0.12,-0.03,0.82,-0.44,0.23,0.67
time 966,0.19,0.91,-0.34,-0.9,0.35,0.67
time 967,0.43,0.47,0.72,-0.54,0.98,0.33
time 968,-0.04,-0.19,-0.4,-0.56,-0.23,1.0
time 969,-0.67,-0.42,-0.58,0.23,-0.85,0.33
time 970,0.63,-0.27,-0.81,0.75,-0.49,1.0
time 971,0.62,-0.32,-0.91,0.6,0.5,0.67
time 972,0.81,0.93,-0.4,0.5,0.06,0.33
time 973,0.55,-0.16,-0.59,0.31,0.56,0.33
time 974,-0.7,-0.28,0.1,-0.59,-0.76,0.33
time 975,0.89,0.58,-0.35,-0.55,-0.86,0.67
time 976,-1.0,0.6,-0.36,0.3,0.05,0.67
time 977,0.97,-0.29,-0.47,0.39,0.54,0.33
time 978,0.4,0.88,-0.57,-0.96,0.77,0.67
time 979,-0.49,0.66,0.83,-0.09,0.64,1.0
time 980,-0.22,-0.45,0.22,0.44,-0.0,0.67
time 981,-0.29,0.23,-0.15,0.49,0.21,0.67
time 982,0.0,-0.42,0.77,0.74,-0.53,0.33
time 983,-0.7,-0.96,-0.78,-0.8,0.31,0.67
time 984,-0.49,-0.65,0.86,-0.03,-0.67,1.0
time 985,-0.23,-0.79,0.41,0.59,0.76,1.0
time 986,0.21,-0.16,0.64,-0.16,-0.22,0.33
time 987,0.12,-0.82,0.22,0.94,0.82,1.0
time 988,0.43,0.84,-0.38,-0.95,0.92,1.0
time 989,-0.44,0.79,-0.98,0.45,-0.86,0.67
time 990,-0.63,-0.56,0.23,-0.96,-0.4,0.33
time 991,-0.11,-0.63,-0.05,0.55,0.27,0.67
time 992,-0.43,0.65,0.25,-0.77,0.65,1.0
time 993,0.27,1.0,0.92,-0.7,0.35,1.0
time 994,-0.18,0.25,-0.79,0.92,-0.43,0.67
time 995,0.83,0.32,0.34,-0.31,-0.66,0.33
time 996,-0.59,0.6,-0.61,-0.98,0.14,1.0
time 997,-0.83,0.8,0.21,-0.43,0.68,1.0
time 998,0.28,0.62,-0.16,-0.28,0.18,0.67
time 999,0.14,0.25,0.04,-0.9,0.93,0.33
time 1000,-0.46,0.63,-0.2,-0.94,-0.01,1.0
time 1001,-0.19,-0.54,0.25,0.57,-0.34,0.33
time 1002,-0.74,0.93,0.16,-0.54,0.58,0.33
time 1003,0.26,-0.4,0.49,0.4,-0.76,1.0
time 1004,0.67,0.62,0.08,0.12,-0.08,0.67
time 1005,0.3,-1.0,-0.79,-0.81,0.68,1.0
time 1006,0.89,-0.62,-0.3,0.77,-0.82,1.0
time 1007,-0.02,0.23,-0.13,-0.44,-0.83,0.67
time 1008,-0.43,-0.45,-0.14,0.22,0.82,1.0
time 1009,0.66,-0.76,0.72,-0.86,0.9,0.33
time 1010,0.96,0.36,0.46,-0.67,-0.87,0.33
time 1011,0.79,-0.94,0.58,-0.77,-0.66,0.33
time 1012,0.46,0.79,-0.63,0.23,-0.59,1.0
time 1013,0.09,0.81,-0.84,0.7,-0.82,1.0
time 1014,0.99,0.77,-0.36,0.9,0.72,0.67
time 1015,0.11,-0.68,-0.39,-0.84,-0.57,0.67
time 1016,0.04,-0.83,0.45,0.9,0.74,0.67
time 1017,-0.48,0.84,-0.72,-0.15,0.79,0.33
time 1018,0.1,-0.64,0.96,-0.69,-0.25,0.33
time 1019,-0.05,-0.45,-0.71,-0.2,-0.99,0.67
time 1020,0.52,0.04,-0.39,-0.97,0.57,1.0
time 1021,-0.3,-0.42,-0.59,-0.36,-0.84,0.67
time 1022,0.27,0.93,-0.11,0.63,0.75,0.67
time 1023,-0.86,0.24,-0.75,0.58,-0.75,0.67
time 1024,0.87,0.61,-0.61,0.04,0.88,0.67
time 1025,0.55,-0.76,0.49,-0.64,0.52,0.67
time 1026,0.47,-0.57,-0.89,-0.56,0.8,0.67
time 1027,-0.99,-0.42,-0.35,-0.79,-0.47,1.0
time 1028,-0.42,0.44,0.9,0.12,-0.14,0.67
time 1029,-0.35,0.98,-0.27,0.97,-0.65,1.0
time 1030,0.28,0.97,0.23,-0.67,-0.83,0.33
time 1031,0.77,0.33,0.21,-0.91,-0.25,0.67
time 1032,-0.9,-0.47,-0.73,0.5,-0.11,1.0
time 1033,0.56,-0.59,0.42,-0.09,-0.56,1.0
time 1034,0.76,0.61,-0.76,0.06,-0.19,1.0
time 1035,-0.6,-0.45,-0.93,0.91,0.67,1.0
time 1036,0.56,-0.23,0.69,0.7,-0.26,0.33
time 1037,-0.43,0.73,-0.64,-0.16,0.69,1.0
time 1038,-0.38,-0.69,-0.89,0.46,0.53,0.33
time 1039,0.64,-0.78,-0.85,-0.83,0.27,0.33
time 1040,0.09,0.38,0.03,-0.02,0.61,0.33
time 1041,-0.56,-0.1,0.54,-0.11,0.99,1.0
time 1042,-0.44,-0.97,0.75,-0.67,-0.15,0.33
time 1043,0.35,-0.15,0.46,-0.09,1.0,1.0
time 1044,-0.07,0.46,0.05,0.3,-0.93,0.67
time 1045,0.78,0.09,-0.01,-0.72,-0.01,1.0
time 1046,0.44,0.88,-0.62,-0.23,-0.67,1.0
time 1047,0.82,0.59,-0.54,0.88,-0.3,0.67
time 1048,0.47,-0.46,-0.55,0.12,-0.55,0.67
time 1049,0.25,-0.26,0.67,0.08,-0.1,0.67
time 1050,0.91,-0.38,-0.03,-0.78,-0.26,0.67
time 1051,-0.64,-0.08,0.03,0.95,0.22,0.33
time 1052,-0.93,0.11,-0.2,-0.83,-0.21,1.0
time 1053,-0.35,0.01,-0.22,0.87,-0.21,1.0
time 1054,0.07,-0.9,-0.85,0.84,-0.51,0.67
time 1055,0.11,0.25,0.66,-0.97,-0.06,0.33
time 1056,0.12,-0.01,0.92,0.69,-0.75,1.0
time 1057,-0.74,0.41,-0.42,-0.06,-0.59,1.0
time 1058,-0.74,0.23,-0.37,-0.5,0.58,0.67
time 1059,0.25,0.22,-0.1,0.72,-0.79,0.67
time 1060,0.47,-0.18,-0.13,-0.61,0.96,0.67
time 1061,-0.91,0.29,-0.3,0.38,0.61,1.0
time 1062,0.23,0.86,0.46,-0.06,-0.59,0.67
time 1063,0.27,-0.18,-0.47,0.61,0.25,0.33
time 1064,-0.59,0.26,-0.78,-0.66,-0.2,0.67
time 1065,0.11,-0.17,0.03,0.24,-0.76,0.33
time 1066,-0.99,-0.51,0.52,0.63,0.45,1.0
time 1067,-0.9,0.08,0.99,0.11,0.53,1.0
time 1068,0.29,-0.49,-0.11,0.3,0.08,0.67
time 1069,-0.59,0.77,0.81,0.09,-0.9,1.0
time 1070,0.95,0.45,0.7,0.86,-0.81,1.0
time 1071,0.1,-0.11,-0.98,-0.54,-0.36,1.0
time 1072,0.34,-0.02,0.87,0.9,-0.46,0.33
time 1073,0.73,-0.69,-0.55,-0.83,-0.06,1.0
time 1074,0.48,0.11,0.52,0.34,0.36,1.0
time 1075,0.85,-0.89,0.37,-0.19,0.78,1.0
time 1076,-0.24,0.4,-0.63,-0.11,0.49,1.0
time 1077,0.22,-0.39,-0.72,0.16,-0.93,0.67
time 1078,-0.09,0.55,-0.66,0.87,-0.98,0.33
time 1079,0.39,-0.75,-0.71,0.27,-0.26,1.0
time 1080,0.35,0.39,0.75,-0.31,0.43,0.67
time 1081,0.39,-0.2,0.44,-0.76,0.12,0.33
time 1082,0.38,0.84,0.06,-0.35,-0.92,0.33
time 1083,0.88,-0.64,-0.18,0.01,-0.17,0.33
time 1084,0.74,0.2,0.31,-0.51,0.55,0.33
time 1085,-0.36,-0.41,0.01,0.26,0.8,0.67
time 1086,-0.71,0.07,0.56,-0.38,-0.77,0.67
time 1087,0.11,0.67,-0.6,-1.0,-0.35,0.33
time 1088,0.87,0.58,-0.11,-0.55,-0.26,0.67
time 1089,-0.74,0.15,-0.0,0.56,-0.98,0.67
time 1090,0.33,0.85,0.68,0.12,0.29,0.33
time 1091,0.82,0.49,0.74,0.99,0.08,0.67
time 1092,0.56,-0.71,0.81,-0.56,0.57,1.0
time 1093,-0.59,0.88,-0.61,-0.97,-0.22,0.33
time 1094,0.78,0.41,0.26,-0.38,-0.41,1.0
time 1095,0.82,0.61,0.83,-0.01,-0.08,1.0
time 1096,-0.36,0.88,-0.75,0.2,-0.3,1.0
time 1097,0.51,-0.81,0.63,-0.35,0.74,1.0
time 1098,-0.23,-0.77,-0.85,0.49,-0.77,0.33
time 1099,0.15,-0.76,-0.32,-0.74,0.49,0.33
time 1100,0.93,0.18,-0.75,-0.37,0.27,0.67
time 1101,-0.09,0.22,-0.37,0.19,-0.53,0.33
time 1102,0.82,0.54,-0.85,-0.27,-0.48,1.0
time 1103,-0.14,-0.54,0.68,-0.7,-0.6,0.33
time 1104,-0.45,0.37,0.44,0.02,0.38,0.33
time 1105,-0.91,-0.6,-0.78,0.18,-0.7,0.33
time 1106,0.29,0.74,-0.31,0.1,0.09,0.33
time 1107,0.94,0.01,0.98,-0.61,0.65,0.67
time 1108,-0.47,-0.77,0.31,-0.75,0.23,0.67
time 1109,-0.14,-0.39,-0.66,0.98,0.19,0.67
time 1110,-0.46,-0.4,0.72,0.89,-0.82,1.0
time 1111,0.98,-0.86,0.27,0.34,0.63,1.0
time 1112,0.99,-0.73,0.31,-0.8,-0.42,0.67
time 1113,0.48,-0.49,-0.01,-0.66,0.2,1.0
time 1114,-0.54,-0.81,-0.3,-0.48,-0.17,0.33
time 1115,0.55,0.47,0.7,0.52,-0.73,0.33
time 1116,-0.4,-0.49,0.28,0.56,-0.99,0.33
time 1117,0.89,-0.91,-0.49,-0.96,0.48,0.33
time 1118,-0.83,-0.32,-0.68,-0.75,-0.47,1.0
time 1119,0.45,0.87,0.95,-0.57,0.3,0.67
time 1120,0.36,-0.42,0.68,0.56,0.16,0.33
time 1121,-0.13,-0.33,0.91,-0.79,-0.48,0.33
time 1122,0.35,0.4,0.44,-0.62,-0.18,1.0
time 1123,0.07,-0.98,0.27,-0.26,-0.67,0.33
time 1124,-0.42,-0.34,0.53,-0.84,0.69,0.33
time 1125,-0.61,-0.22,0.05,0.85,-0.73,0.67
time 1126,0.38,-0.99,-0.35,-0.98,0.47,0.33
time 1127,-0.62,0.14,-0.14,-0.35,0.22,0.67
time 1128,-0.66,0.32,-0.62,0.24,-0.46,1.0
time 1129,-0.02,-0.34,0.25,0.61,-0.17,0.67
time 1130,0.23,-0.85,0.25,0.06,0.34,0.33
time 1131,0.83,-0.2,0.93,-0.48,-0.37,0.33
time 1132,-0.45,0.9,0.73,-0.43,-0.86,1.0
time 1133,-0.61,0.77,0.77,0.1,-0.2,1.0
time 1134,-0.21,0.75,-0.54,-0.34,-0.73,0.67
time 1135,-0.38,-0.41,-0.63,0.01,0.46,0.33
time 1136,-0.12,0.96,0.35,-0.41,0.58,1.0
time 1137,-0.09,0.19,-0.61,-0.76,-0.57,0.67
time 1138,0.44,0.48,0.86,0.72,-0.45,0.67
time 1139,0.38,0.7,-0.99,0.38,0.3,0.67
time 1140,0.9,-0.26,-0.52,-0.81,-0.04,0.33
time 1141,-0.63,0.1,0.32,0.11,0.77,0.67
time 1142,0.14,0.31,0.83,-0.55,-0.66,0.67
time 1143,0.07,0.14,-0.8,-0.3,0.39,0.33
time 1144,-0.31,0.98,0.49,0.91,-0.14,0.33
time 1145,-0.93,0.86,0.19,-0.87,0.67,0.67
time 1146,-0.47,-0.63,0.12,0.33,0.98,0.67
time 1147,-0.86,-0.11,0.65,0.73,0.08,0.67
time 1148,-0.13,-0.84,-0.47,0.39,-0.85,0.67
time 1149,-0.04,-0.12,-0.98,-0.33,-0.93,1.0
time 1150,-0.5,0.45,-0.52,-0.74,0.07,0.67
time 1151,-0.23,-0.74,-0.1,0.0,-0.13,0.33
time 1152,-0.36,-0.58,-0.3,0.34,-0.03,1.0
time 1153,0.9,-0.23,-0.64,-0.54,0.15,0.67
time 1154,0.68,0.36,-0.86,0.56,0.13,1.0
time 1155,0.34,-0.62,-0.53,-0.18,-0.14,0.67
time 1156,0.25,-0.66,-0.11,-0.59,-0.68,1.0
time 1157,0.44,0.44,0.66,0.41,0.92,0.33
time 1158,-0.19,0.49,0.08,0.29,0.26,1.0
time 1159,-0.83,0.2,0.43,-0.77,0.35,0.67
time 1160,-0.82,-0.83,0.87,0.62,-0.94,0.33
time 1161,0.69,0.32,-0.12,0.86,-0.17,0.33
time 1162,0.19,0.92,-0.96,0.08,0.9,0.33
time 1163,-0.06,0.58,-0.38,0.03,-0.98,0.33
time 1164,-0.54,-0.86,0.86,-0.61,-0.68,0.33
time 1165,0.62,-0.5,-0.67,0.45,0.06,1.0
time 1166,-0.36,0.26,0.3,0.03,0.86,0.33
time 1167,0.03,0.68,0.47,-0.75,-0.51,0.33
time 1168,0.84,-0.26,-0.56,-0.71,-0.36,1.0
time 1169,-0.12,-0.83,0.27,0.22,-0.88,0.67
time 1170,0.48,-0.27,-0.58,-0.56,-0.23,0.33
time 1171,-0.86,0.32,-0.72,-0.93,-0.93,0.67
time 1172,-0.06,-0.46,0.93,-0.5,-0.7,1.0
time 1173,0.29,0.35,-0.31,0.53,0.35,0.67
time 1174,0.09,-0.65,0.86,0.04,-0.7,0.67
time 1175,0.91,-0.88,0.59,0.85,-0.03,1.0
time 1176,0.23,0.38,0.17,-0.49,0.91,1.0
time 1177,-0.39,0.12,-0.41,-0.31,-0.55,0.33
time 1178,0.89,0.52,0.05,-0.11,0.16,0.67
time 1179,0.15,0.77,0.77,-0.56,-0.73,1.0
time 1180,0.05,0.52,0.89,0.38,-0.25,1.0
time 1181,-0.14,0.61,0.01,0.65,0.97,0.67
time 1182,-0.02,0.42,0.62,0.87,-0.09,1.0
time 1183,-1.0,-0.28,0.98,0.32,0.57,0.67
time 1184,0.28,-0.64,0.67,0.95,0.79,1.0
time 1185,0.81,0.59,0.24,-0.03,0.53,0.67
time 1186,0.48,0.52,-0.83,0.59,0.1,0.67
time 1187,-0.62,-0.81,0.95,0.08,0.92,1.0
time 1188,-0.87,-0.83,-0.18,0.67,-0.24,1.0
time 1189,-0.5,0.57,-0.35,-0.63,0.18,0.33
time 1190,0.67,-0.72,0.61,-0.04,-0.3,0.33
time 1191,0.71,-0.48,0.6,0.89,0.02,0.33
time 1192,-0.53,-0.89,-0.34,-0.89,-0.33,0.33
time 1193,-0.22,0.32,-0.72,-0.86,-0.26,1.0
time 1194,-0.0,0.09,-0.38,0.56,-0.17,0.67
time 1195,-0.27,0.47,0.91,-0.49,-0.16,0.33
time 1196,0.35,0.94,-0.24,0.63,0.35,0.33
time 1197,-0.17,0.29,-0.4,0.04,-0.45,0.67
time 1198,0.95,0.55,-0.11,0.34,-0.11,0.33
time 1199,-0.39,0.31,0.32,-0.51,0.86,1.0
time 1200,-0.38,-0.41,-0.93,-0.31,-0.17,0.33
time 1201,0.44,0.27,-0.4,-0.07,0.44,0.33
time 1202,-0.8,-0.24,0.79,-0.18,-0.24,0.67
time 1203,-0.04,0.28,-0.97,-0.21,0.61,0.67
time 1204,-0.58,0.08,-0.96,-0.67,0.61,1.0
time 1205,-0.25,-0.13,0.24,0.38,-0.49,0.33
time 1206,-0.29,0.57,-0.71,-0.13,-0.53,1.0
time 1207,0.78,0.6,0.02,-0.49,0.06,0.67
time 1208,-0.43,-0.27,0.43,-0.52,0.5,1.0
time 1209,-0.97,0.12,0.61,-0.82,-0.21,0.67
time 1210,-0.91,0.21,-0.5,-0.37,0.02,0.33
time 1211,-0.62,0.52,0.4,-0.96,0.67,1.0
time 1212,-0.3,0.16,-0.88,0.16,-0.33,1.0
time 1213,0.96,-0.78,-0.89,0.43,-0.55,0.67
time 1214,-0.5,0.59,0.81,-0.94,0.5,1.0
time 1215,-0.36,0.46,0.92,-0.95,-0.97,1.0
time 1216,-0.68,-0.76,-0.8,0.04,-0.1,1.0
time 1217,0.37,-0.78,0.54,0.7,0.16,1.0
time 1218,0.29,0.34,0.03,0.15,-0.93,1.0
time 1219,-0.16,-0.82,-0.31,0.45,0.07,0.33
time 1220,0.73,0.24,-1.0,0.59,-0.57,0.33
time 1221,0.14,0.42,-0.43,-0.15,-0.93,0.67
time 1222,-0.53,0.19,-0.79,0.75,-0.04,0.67
time 1223,-0.37,0.52,-0.11,-0.3,-0.54,0.33
time 1224,-0.17,-0.54,0.76,0.96,0.42,0.33
time 1225,0.49,-0.67,-0.04,0.97,0.59,0.67
time 1226,-0.25,0.69,0.35,-0.54,-0.52,1.0
time 1227,0.82,0.87,-0.82,0.18,0.73,0.67
time 1228,-0.27,0.08,-0.12,0.03,0.16,0.67
time 1229,0.79,0.47,-0.73,0.24,-0.23,0.67
time 1230,-0.64,0.37,-0.79,0.59,-0.11,0.67
time 1231,0.44,0.99,-0.08,-0.84,-0.67,0.67
time 1232,-0.47,-0.9,-0.92,-0.64,0.77,0.67
time 1233,0.24,-0.87,-0.85,0.13,-0.78,0.33
time 1234,-0.04,-0.86,0.67,0.5,0.54,0.67
time 1235,-0.73,-0.18,-0.05,0.81,-0.73,0.33
time 1236,-0.67,-0.76,0.77,0.75,0.85,0.33
time 1237,0.55,-0.64,-0.92,-0.27,0.74,1.0
time 1238,0.06,0.43,-0.81,-0.45,0.96,1.0
time 1239,-0.75,-0.48,-0.56,0.2,0.69,1.0
time 1240,-0.43,-0.75,0.83,-0.52,-0.71,0.67
time 1241,-0.17,0.91,0.69,0.45,-0.16,1.0
time 1242,-0.19,0.15,-0.41,-0.78,-0.48,1.0
time 1243,-0.89,-0.47,-0.94,0.66,-0.5,0.33
time 1244,0.42,-0.25,0.84,0.38,0.92,0.33
time 1245,0.51,0.93,-0.67,0.96,0.22,1.0
time 1246,0.84,-0.75,0.49,0.01,-0.84,0.33
time 1247,-0.09,0.85,-0.96,0.84,0.94,0.67
time 1248,0.53,0.12,-0.97,-0.56,0.49,1.0
time 1249,0.63,-0.53,0.15,0.34,0.25,1.0
time 1250,0.02,-0.04,0.42,-0.91,0.65,0.67
time 1251,0.32,0.62,0.59,0.82,-0.85,0.67
time 1252,-0.2,-0.29,0.32,0.66,-0.38,0.67
time 1253,0.23,-0.72,0.47,0.18,-0.67,0.67
time 1254,-0.27,-0.41,0.53,-0.03,-0.21,0.67
time 1255,0.12,0.48,-0.3,-0.14,0.95,1.0
time 1256,-0.77,-0.26,-0.97,0.01,0.26,0.33
time 1257,0.15,0.85,0.72,-0.1,0.55,1.0
time 1258,-0.94,-0.4,-0.43,-0.4,-0.69,1.0
time 1259,-0.89,0.75,0.22,0.45,-0.66,0.67
time 1260,0.06,0.91,-0.62,-0.25,-0.4,0.67
time 1261,-0.18,0.98,0.14,-0.1,0.89,0.67
time 1262,-0.79,-0.88,-0.98,-0.14,-0.82,0.33
time 1263,0.21,-0.23,-0.18,0.53,0.42,1.0
time 1264,-0.3,-0.8,-0.68,-0.27,-0.86,0.67
time 1265,0.79,-0.66,-0.01,0.0,-0.74,1.0
time 1266,0.56,-0.25,0.28,0.93,0.17,0.33
time 1267,0.87,-0.75,0.09,-0.37,-0.51,0.33
time 1268,0.74,-0.09,0.21,0.16,0.15,1.0
time 1269,0.5,-0.1,0.81,0.4,-0.02,0.33
time 1270,-0.1,-0.28,-0.86,0.43,-0.69,1.0
time 1271,0.14,0.9,-0.56,0.39,-0.82,1.0
time 1272,-0.29,-0.51,0.36,-0.73,-0.2,0.33
time 1273,-0.24,-0.36,-0.39,0.24,-0.63,1.0
time 1274,0.85,0.47,-0.59,-0.36,-0.7,0.33
time 1275,0.58,0.14,0.3,0.17,-0.26,0.33
time 1276,0.88,0.12,0.38,1.0,0.73,1.0
time 1277,-0.68,0.5,-0.28,-0.79,-0.26,0.67
time 1278,0.78,-0.41,0.42,0.56,-0.18,0.33
time 1279,0.19,0.26,0.74,0.46,-0.03,1.0
time 1280,-0.37,-0.74,-0.17,0.69,0.5,0.67
time 1281,-0.82,-0.51,-0.54,0.81,-0.71,0.67
time 1282,0.98,-0.43,-0.45,0.55,0.3,0.33
time 1283,-0.64,-0.12,0.82,0.86,-0.07,0.67
time 1284,-0.9,-0.12,0.71,-0.22,-0.64,0.67
time 1285,0.23,-0.18,0.01,-0.04,0.55,0.33
time 1286,-0.44,0.24,-0.32,0.15,0.59,1.0
time 1287,-0.16,0.1,0.82,0.18,0.39,1.0
time 1288,-0.43,-0.58,-0.14,-0.13,-0.57,1.0
time 1289,-0.47,-0.33,-0.26,0.47,-0.24,0.33
time 1290,-0.92,0.81,0.2,-0.87,-0.34,0.67
time 1291,0.99,0.49,0.23,0.09,0.82,0.33
time 1292,-0.77,0.66,0.66,0.63,0.37,0.33
time 1293,-0.5,-0.52,0.52,-1.0,-0.05,1.0
time 1294,-0.5,0.77,-0.52,0.68,-0.08,1.0
time 1295,0.52,1.0,-0.2,0.58,0.04,0.33
time 1296,-0.63,0.82,-0.22,0.97,0.77,0.33
time 1297,0.31,0.46,0.63,0.97,0.63,0.67
time 1298,0.05,-0.75,0.3,-0.17,0.37,1.0
time 1299,-0.28,0.39,0.56,-0.96,0.41,0.33
time 1300,-0.55,0.12,0.91,0.52,-0.94,0.33
time 1301,-0.17,0.66,0.72,0.91,0.18,0.33
time 1302,-1.0,-0.4,0.69,-0.42,-0.57,0.33
time 1303,-0.06,-0.57,-0.9,-0.08,0.31,0.33
time 1304,-0.92,0.02,-0.78,-0.93,0.68,0.67
time 1305,-0.86,0.91,0.7,-0.67,-0.04,1.0
time 1306,0.22,-0.39,0.01,-0.16,-0.86,0.67
time 1307,0.94,-0.1,-0.81,-0.99,-0.91,0.33
time 1308,-0.59,-0.47,-0.56,0.1,0.64,0.33
time 1309,0.84,-0.03,-0.48,-0.85,0.81,0.33
time 1310,0.52,0.32,-0.08,-0.24,-0.45,0.67
time 1311,0.51,0.61,0.44,-0.44,-0.41,0.33
time 1312,-0.96,-0.62,0.22,0.28,-0.41,0.67
time 1313,-0.69,-0.59,0.14,0.83,0.97,0.67
time 1314,-0.36,0.6,-0.67,-0.45,-0.32,1.0
time 1315,-0.81,0.17,0.94,0.14,-0.77,0.67
time 1316,0.11,0.72,0.18,-0.6,-0.5,0.67
time 1317,0.99,-0.96,0.83,-0.21,0.4,0.33
time 1318,0.02,-0.92,-0.91,-0.32,-0.94,0.67
time 1319,0.3,0.24,-0.58,-0.39,0.72,0.67
time 1320,0.87,-0.08,-0.44,0.89,-0.6,1.0
time 1321,0.77,-0.68,-0.7,0.58,0.23,1.0
time 1322,0.12,-0.18,0.57,-0.22,-0.58,0.67
time 1323,-0.89,0.76,0.69,0.59,-0.35,0.67
time 1324,0.95,0.34,-0.27,0.57,0.63,0.33
time 1325,-0.02,-0.8,-0.52,-0.02,0.82,1.0
time 1326,-0.39,0.41,0.58,-0.23,-0.54,0.67
time 1327,-0.67,-0.12,-0.3,0.42,0.66,1.0
time 1328,0.34,-0.78,-0.42,-0.68,0.92,0.33
time 1329,-0.36,-0.71,-0.83,-0.95,0.98,0.67
time 1330,0.02,0.24,-0.74,-0.91,0.07,0.67
time 1331,-0.06,0.26,-0.6,0.45,-0.3,0.33
time 1332,-0.15,-0.03,-0.84,0.25,-0.99,1.0
time 1333,0.26,-0.93,0.07,-0.29,0.69,1.0
time 1334,-0.16,0.15,0.74,-0.97,0.9,1.0
time 1335,-0.1,0.1,-0.25,0.32,-0.38,0.33
time 1336,-0.22,-0.74,-0.91,-0.23,-0.71,1.0
time 1337,-0.58,-0.77,-0.0,-0.77,-0.69,0.67
time 1338,-0.92,0.69,0.18,-0.38,-0.72,1.0
time 1339,0.48,0.97,0.17,-0.02,-0.59,1.0
time 1340,0.15,-0.85,-0.93,-0.53,0.49,0.67
time 1341,-0.94,0.36,-0.9,0.28,-0.1,1.0
time 1342,-0.02,-0.9,-0.09,-0.49,-0.18,1.0
time 1343,0.87,0.09,0.1,-1.0,-0.66,0.67
time 1344,-0.78,-0.76,0.93,0.45,-0.35,1.0
time 1345,0.65,-0.55,0.24,-0.35,0.41,0.33
time 1346,0.55,0.09,-0.78,0.76,0.15,0.33
time 1347,-0.61,-0.35,-0.18,0.26,-0.23,1.0
time 1348,0.63,-0.82,0.5,-0.13,0.77,0.33
time 1349,-0.65,0.76,0.16,-0.04,0.86,0.33
time 1350,-0.77,0.72,0.41,-0.38,0.1,0.67
time 1351,-0.15,-0.41,0.15,-0.55,-0.14,0.67
time 1352,-0.32,-0.28,-0.77,0.14,-0.98,1.0
time 1353,0.74,-0.65,0.88,-0.79,-0.8,0.67
time 1354,-0.43,0.55,-0.16,0.35,0.66,0.67
time 1355,-0.78,0.6,-0.65,0.36,0.04,0.67
time 1356,0.49,0.37,0.47,0.79,0.94,0.33
time 1357,-0.72,-0.12,0.69,0.83,0.27,1.0
time 1358,0.32,0.12,0.34,0.92,0.81,0.33
time 1359,-0.05,-0.58,0.39,-0.73,-0.08,0.67
time 1360,0.57,-0.36,0.98,0.83,-0.85,1.0
time 1361,-0.43,-0.38,0.06,0.6,-0.93,1.0
time 1362,0.33,-0.45,-0.38,0.01,-0.72,0.33
